soap (1f9fc)
toothbrush (1faa5)
sponge (1f9fd)
fire_extinguisher (1f9ef)
shopping_cart (1f6d2)
cigarette (1f6ac)
coffin (26b0)
headstone (1faa6)
funeral_urn (26b1)
moai (1f5ff)
placard (1faa7)
atm_sign (1f3e7)
litter_in_bin_sign (1f6ae)
potable_water (1f6b0)
wheelchair_symbol (267f)
mens_room (1f6b9)
womens_room (1f6ba)
restroom (1f6bb)
baby_symbol (1f6bc)
water_closet (1f6be)
passport_control (1f6c2)
customs (1f6c3)
baggage_claim (1f6c4)
left_luggage (1f6c5)
warning (26a0)
children_crossing (1f6b8)
no_entry (26d4)
prohibited (1f6ab)
no_bicycles (1f6b3)
no_smoking (1f6ad)
no_littering (1f6af)
nonpotable_water (1f6b1)
no_pedestrians (1f6b7)
no_mobile_phones (1f4f5)
no_one_under_eighteen (1f51e)
up_arrow (2b06)
right_arrow (27a1)
down_arrow (2b07)
left_arrow (2b05)
right_arrow_curving_left (21a9)
left_arrow_curving_right (21aa)
clockwise_vertical_arrows (1f503)
counterclockwise_arrows_button (1f504)
back_arrow (1f519)
end_arrow (1f51a)
on_arrow (1f51b)
soon_arrow (1f51c)
top_arrow (1f51d)
place_of_worship (1f6d0)
atom_symbol (269b)
om (1f549)
yin_yang (262f)
latin_cross (271d)
star_and_crescent (262a)
peace_symbol (262e)
menorah (1f54e)
dotted_sixpointed_star (1f52f)
gemini (264a)
cancer (264b)
leo (264c)
virgo (264d)
libra (264e)
scorpio (264f)
ophiuchus (26ce)
shuffle_tracks_button (1f500)
repeat_button (1f501)
repeat_single_button (1f502)
play_button (25b6)
fastforward_button (23e9)
next_track_button (23ed)
play_or_pause_button (23ef)
reverse_button (25c0)
fast_reverse_button (23ea)
last_track_button (23ee)
upwards_button (1f53c)
fast_up_button (23eb)
downwards_button (1f53d)
fast_down_button (23ec)////////////////////////////////////////////////////
pause_button (23f8)
stop_button (23f9)
record_button (23fa)
eject_button (23cf)
cinema (1f3a6)
dim_button (1f505)
bright_button (1f506)
antenna_bars (1f4f6)
vibration_mode (1f4f3)
mobile_phone_off (1f4f4)
transgender_symbol (26a7)
infinity (267e)
double_exclamation_mark (203c)
currency_exchange (1f4b1)
heavy_dollar_sign (1f4b2)
recycling_symbol (267b)
fleurdelis (269c)
trident_emblem (1f531)
name_badge (1f4db)
japanese_symbol_for_beginner (1f530)
hollow_red_circle (2b55)
cross_mark (274c)
cross_mark_button (274e)
curly_loop (27b0)
double_curly_loop (27bf)
part_alternation_mark (303d)
copyright (00a9)
registered (00ae)
keycap_x23 (0023_20e3)
keycap_ (002a_20e3)
keycap_0 (0030_20e3)
keycap_1 (0031_20e3)
keycap_2 (0032_20e3)
keycap_3 (0033_20e3)
keycap_4 (0034_20e3)
keycap_5 (0035_20e3)
keycap_6 (0036_20e3)
keycap_7 (0037_20e3)
keycap_8 (0038_20e3)
keycap_9 (0039_20e3)
keycap_10 (1f51f)
input_latin_uppercase (1f520)
input_latin_lowercase (1f521)
input_numbers (1f522)
input_symbols (1f523)
input_latin_letters (1f524)
a_button_blood_type (1f170)
ab_button_blood_type (1f18e)
